extracted_name,refine_flag,region
NA,True,-1
李淑英,True,1
張淑芬,True,0
NA,True,-1
王桂荣,True,1
李俊毅,True,0
NA,True,-1
李俊毅,True,0
NA,True,-1
王桂荣,True,1
李俊毅,True,0
NA,True,-1
李俊毅,True,0
林雅婷,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
王桂荣,True,1
林秀美,True,0
王建平,True,1
林雅婷,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
蔡承翰,True,0
王桂荣,True,1
王海燕,True,1
林雅婷,True,0
王桂荣,True,1
NA,True,-1
NA,True,-1
王桂荣,True,1
李淑英,True,1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
蔡承翰.,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
蔡承翰,True,0
李淑英,True,1
NA,True,-1
王桂荣,True,1
李俊毅,True,0
NA,True,-1
王建平,True,1
王海燕,True,1
NA,True,-1
NA,True,-1
林秀美,True,0
NA,True,-1
王桂荣,True,1
NA,True,-1
王建平,True,1
NA,True,-1
林雅婷,True,0
陳文雄,True,0
李俊毅,True,0
李俊毅,True,0
NA,True,-1
NA,True,-1
蔡承翰,True,0
王建平,True,1
王建平,True,1
李淑英,True,1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
王桂荣,True,1
王建平,True,1
林秀美,True,0
王桂荣,True,1
NA,True,-1
NA,True,-1
李兰英,True,1
NA,True,-1
NA,True,-1
NA,True,-1
蔡承翰,True,0
NA,True,-1
林雅婷,True,0
NA,True,-1
張淑芬,True,0
NA,True,-1
林雅婷,True,0
李俊毅,True,0
NA,True,-1
王桂荣,True,1
林雅婷,True,0
李俊毅,True,0
NA,True,-1
王桂荣,True,1
王桂荣,True,1
NA,True,-1
王桂荣,True,1
王桂荣,True,1
NA,True,-1
NA,True,-1
蔡承恩,True,0
王桂荣,True,1
蔡承恩,True,0
李俊毅,True,0
李俊毅,True,0
王建平,True,1
王建平,True,1
王桂荣,True,1
李俊毅,True,0
王桂荣,True,1
NA,True,-1
NA,True,-1
王建平,True,1
NA,True,-1
王建平,True,1
林秀美,True,0
王建平,True,1
NA,True,-1
王建平,True,1
王海燕,True,1
NA,True,-1
NA,True,-1
NA,True,-1
李兰英,True,1
NA,True,-1
林雅婷,True,0
NA,True,-1
NA,True,-1
王建平,True,1
NA,True,-1
NA,True,-1
NA,True,-1
張淑芬,True,0
蔡承翰,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李俊毅,True,0
NA,True,-1
王桂荣,True,1
李俊毅,True,0
黄淑惠,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
林秀美,True,0
NA,True,-1
林美華,True,0
李宗翰,True,0
NA,True,-1
李承恩,True,0
NA,True,-1
李承恩,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
李承恩,True,0
陳柏霖,True,0
王凤兰,True,1
NA,True,-1
李宗翰,True,0
李宗翰,True,0
陳柏霖,True,0
李桂英,True,1
陳柏霖,True,0
李承恩,True,0
NA,True,-1
NA,True,-1
李宗翰,True,0
NA,True,-1
李宗翰,True,0
林秀琴,True,0
李承恩,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
李承恩,True,0
張桂芳,True,-1
NA,True,-1
NA,True,-1
陳柏霖,True,0
李宗翰,True,0
陳柏霖,True,0
NA,True,-1
李宗翰,True,0
李承恩,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李宗翰,True,0
NA,True,-1
李承恩,True,0
陳柏霖,True,0
張玉兰,True,-1
NA,True,-1
NA,True,-1
陳柏霖,True,0
NA,True,-1
NA,True,-1
李宗翰,True,0
李承恩,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
林秀琴,True,0
林秀琴,True,0
李桂英,True,1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
陳柏霖,True,0
張秀荣,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
李承恩,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李桂英,True,1
张秀荣,True,1
NA,True,-1
李承恩,True,0
NA,True,-1
李承恩,True,0
李宗翰,True,0
李宗翰,True,0
李桂英,True,1
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
李宗翰,True,0
林美華,True,0
李桂英,True,1
NA,True,-1
李宗翰,True,0
李承恩,True,0
NA,True,-1
NA,True,-1
李宗翰,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李宗翰,True,0
NA,True,-1
NA,True,-1
NA,True,-1
陳柏霖,True,0
李宗翰,True,0
李宗翰,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李承恩,True,0
李宗翰,True,0
NA,True,-1
李承恩,True,0
李宗翰,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李宗翰,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李宗翰,True,0
李承恩,True,0
NA,True,-1
NA,True,-1
李桂英,True,1
林美華,True,0
林秀琴,True,0
陳柏霖,True,0
陳柏霖,True,0
李承恩,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
李承恩,True,0
NA,True,-1
李宗翰,True,0
林秀琴,True,0
NA,True,-1
李承恩,True,0
李承恩,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
NA,True,-1
NA,True,-1
李承恩,True,0
李桂英,True,1
李宗翰,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
李承恩,True,0
李宗翰,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李宗翰,True,0
林秀琴,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李承恩,True,0
李宗翰,True,0
李承恩,True,0
李宗翰,True,0
林秀琴,True,0
NA,True,-1
陳柏霖,True,0
林美華,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
李桂英,True,1
李宗翰,True,0
NA,True,-1
NA,True,-1
李承恩,True,0
李宗翰,True,0
NA,True,-1
NA,True,-1
李承恩,True,0
NA,True,-1
林美華,True,0
李宗翰,True,0
NA,True,-1
林美華,True,0
李承恩,True,0
李承恩,True,0
李承恩,True,0
李宗翰,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
NA,True,-1
李宗翰,True,0
林美華,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李宗翰,True,0
李桂英,True,1
NA,True,-1
NA,True,-1
NA,True,-1
李宗翰,True,0
李承恩,True,0
NA,True,-1
李承恩,True,0
張秀榮,True,-1
李宗翰,True,0
李宗翰,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
李承恩,True,0
NA,True,-1
陳柏霖,True,0
陳怡安,True,0
NA,True,-1
李宗翰,True,0
李桂英,True,1
李宗翰,True,0
李宗翰,True,0
NA,True,-1
林秀琴,True,0
NA,True,-1
NA,True,-1
李宗翰,True,0
NA,True,-1
李宗翰,True,0
李承恩,True,0
李承恩,True,0
NA,True,-1
李承恩,True,0
李宗翰,True,0
李承恩,True,0
NA,True,-1
李承恩,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
李宗翰,True,0
建,False,1
李宗翰,True,0
NA,True,-1
陳柏霖,True,0
NA,True,-1
陳柏霖,True,0
NA,True,-1
NA,True,-1
李宗翰,True,0
李宗翰,True,0
李宗翰,True,0
李宗翰,True,0
李宗翰,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
張秀榮,True,-1
李宗翰,True,0
NA,True,-1
NA,True,-1
李宗翰,True,0
李承恩,True,0
NA,True,-1
李承恩,True,0
NA,True,-1
李宗翰,True,0
NA,True,-1
李桂英,True,1
NA,True,-1
李宗翰,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
張桂兰,True,-1
張桂芳,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
張紅梅,True,-1
張秀荣,True,-1
張秀梅,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
張秀梅,True,-1
張紅梅,True,-1
張桂兰,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張秀梅,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張紅梅,True,-1
蔡承恩,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
張秀梅,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張秀榮,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
張秀荣,True,-1
陳建宏,True,0
張桂芳,True,-1
NA,True,-1
張紅梅,True,-1
張秀梅,True,-1
張桂兰.,True,-1
張秀梅,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張桂兰,True,-1
陳建宏,True,0
陳建宏,True,0
張秀英,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
張桂芳,True,-1
張紅梅,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
張秀荣,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
張紅梅,True,-1
NA,True,-1
NA,True,-1
張桂芳,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
張桂芳,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
張秀梅,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
張桂芳,True,-1
陳建宏,True,0
張桂芳,True,-1
張秀荣,True,-1
張桂芳,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張秀荣,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
張桂兰,True,-1
建,False,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
張秀荣,True,-1
陳建宏,True,0
張桂芳,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張秀梅,True,-1
陳建宏,True,0
張桂芳,True,-1
陳建宏,True,0
NA,True,-1
張秀梅,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
建,False,0
陳建宏,True,0
NA,True,-1
張秀梅,True,-1
NA,True,-1
陳建宏,True,0
張紅梅,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
王玉兰,True,1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳柏宏,True,0
陳建宏,True,0
張桂芳,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
李佳蓉,True,0
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張桂芳,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
張桂芳,True,-1
NA,True,-1
NA,True,-1
張桂芳,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
張桂兰,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
張桂芳,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
張秀荣,True,-1
陳建宏,True,0
NA,True,-1
張紅梅,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
張秀荣,True,-1
NA,True,-1
張桂芳,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
張淑英,True,-1
陳建宏,True,0
張桂芳,True,-1
陳建宏,True,0
張桂芳,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
張紅梅,True,-1
NA,True,-1
張秀梅,True,-1
张秀荣,True,1
蔡承恩,True,0
陳建宏,True,0
陳建宏,True,0
陳柏宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
張桂兰.,True,-1
NA,True,-1
陳柏宏,True,0
張紅梅,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
建,False,0
張桂芳,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
張桂芳,True,-1
NA,True,-1
張桂兰,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
張桂芳,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
林子翔,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
林明德.,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
陳建宏,True,0
NA,True,-1
李桂珍,True,1
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
李凤英,True,1
NA,True,-1
林子翔,True,0
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
林子翔,True,0
陳建宏,True,0
NA,True,-1
林美華.,True,-1
林子翔,True,0
如,False,0
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
李桂珍,True,1
如,False,0
陳建宏,True,0
林子翔,True,0
NA,True,-1
NA,True,-1
NA,True,-1
林子翔,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
王桂英,True,1
陳建宏,True,0
NA,True,-1
李桂荣,True,1
林子翔,True,0
NA,True,-1
林子翔,True,0
NA,True,-1
如,False,0
陳建宏,True,0
NA,True,-1
陳建宏,True,0
林美華,True,0
NA,True,-1
李桂珍,True,1
如,False,0
李桂珍,True,1
NA,True,-1
NA,True,-1
林秀玲,True,0
NA,True,-1
陳建宏,True,0
李淑兰,True,1
如,False,0
如,False,0
李淑兰,True,1
陳建宏,True,0
张春梅,True,1
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
如,False,0
陳建宏,True,0
NA,True,-1
陳建宏,True,0
李桂荣,True,1
NA,True,-1
林子翔,True,0
林子翔,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
李桂珍,True,1
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
张春梅,True,1
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
林子翔,True,0
陳建宏,True,0
陳建宏,True,0
如,False,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
NA,True,-1
李淑兰,True,1
NA,True,-1
林秀玲,True,0
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
林子翔,True,0
陳建宏,True,0
NA,True,-1
如,False,0
如,False,0
李淑兰.,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
林明德,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
林子翔,True,0
如,False,0
NA,True,-1
如,False,0
如,False,0
林子翔,True,0
NA,True,-1
NA,True,-1
李桂荣,True,1
李桂珍,True,1
林子翔,True,0
陳建宏,True,0
李淑兰,True,1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
王红梅,True,1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
陳建宏,True,0
如,False,0
NA,True,-1
陳建宏,True,0
林子翔,True,0
NA,True,-1
NA,True,-1
如,False,0
陳建宏,True,0
NA,True,-1
NA,True,-1
如,False,0
如,False,0
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
李桂珍,True,1
李桂珍,True,1
NA,True,-1
NA,True,-1
如,False,0
林美華,True,0
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
如,False,0
林子翔,True,0
陳建宏,True,0
如,False,0
林子翔,True,0
林秀玲,True,0
NA,True,-1
NA,True,-1
如,False,0
陳建宏,True,0
陳建宏,True,0
李桂珍,True,1
NA,True,-1
NA,True,-1
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
陳建宏,True,0
林子翔,True,0
如,False,0
李桂珍,True,1
NA,True,-1
林子翔,True,0
李桂珍,True,1
NA,True,-1
如,False,0
NA,True,-1
如,False,0
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
李桂珍,True,1
陳建宏,True,0
NA,True,-1
如,False,0
NA,True,-1
NA,True,-1
林子翔,True,0
NA,True,-1
NA,True,-1
林秀玲,True,0
NA,True,-1
如,False,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
NA,True,-1
林子翔,True,0
林子翔,True,0
如,False,0
陳建宏,True,0
陳建宏,True,0
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
陳建宏,True,0
陳建宏,True,0
陳建宏,True,0
张春梅,True,1
如,False,0
林子翔,True,0
NA,True,-1
NA,True,-1
陳建志,True,0
陳怡安,True,0
陳建志,True,0
NA,True,-1
NA,True,-1
NA,True,-1
林子翔,True,0
如,False,0
NA,True,-1
陳建志,True,0
李玉华,True,1
NA,True,-1
如,False,0
陳建志,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
张桂珍,True,1
NA,True,-1
張哲瑋,True,0
NA,True,-1
陳建志,True,0
李淑芬,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李玉华.,True,-1
林子翔,True,0
陳建志,True,0
張哲瑋,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李玉华,True,1
陳建志,True,0
NA,True,-1
如,False,0
NA,True,-1
陳怡安,True,0
陳建志,True,0
NA,True,-1
NA,True,-1
如,False,0
NA,True,-1
NA,True,-1
如,False,0
如,False,0
如,False,0
NA,True,-1
NA,True,-1
NA,True,-1
如,False,0
李玉华,True,1
NA,True,-1
陳建志,True,0
李淑芬,True,0
NA,True,-1
林子翔,True,0
NA,True,-1
陳建志,True,0
李淑芬,True,0
NA,True,-1
NA,True,-1
陳建志,True,0
林子翔,True,0
林子翔,True,0
如,False,0
林美玲,True,0
NA,True,-1
李凤英,True,1
张淑兰,True,1
NA,True,-1
NA,True,-1
NA,True,-1
陳建志,True,0
NA,True,-1
NA,True,-1
張哲瑋,True,0
NA,True,-1
NA,True,-1
陳建志,True,0
NA,True,-1
陳建志,True,0
陳建志,True,0
陳建志,True,0
NA,True,-1
NA,True,-1
NA,True,-1
陳建志,True,0
NA,True,-1
陳建志,True,0
NA,True,-1
陳建志,True,0
陳建志,True,0
NA,True,-1
NA,True,-1
李玉华,True,1
NA,True,-1
