gt,qwen,baichuan2,chatglm2,breeze,taiwan-llm,ds,gpt4o,gpt4,gpt3.5,llama3-70b,llama3-8b
网上购物,"0,0,15","11,0,4","4,0,11","0,0,15","0,0,15","1,0,14","15,0,0","15,0,0","15,0,0","1,0,14","3,0,12"
自动售货机,"15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","12,1,2","9,2,4"
连衣裙,"15,0,0","0,0,15","2,0,13","0,15,0","0,0,15","14,0,1","15,0,0","15,0,0","15,0,0","5,0,10","3,2,10"
裙裤,"15,0,0","0,0,15","1,3,11","0,0,15","15,0,0","15,0,0","15,0,0","0,15,0","0,15,0","6,2,7","8,2,5"
蝙蝠衫,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","0,0,15","0,0,15","3,0,12","1,0,14"
秋裤,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","1,0,14","15,0,0","6,0,9","3,0,12"
秋衣,"15,0,0","0,0,15","5,0,10","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","0,0,15","1,0,14"
紧身短裤,"0,12,3","0,0,15","0,0,15","0,0,15","0,0,15","0,14,1","0,15,0","0,0,15","0,0,15","0,8,7","0,0,15"
坡跟鞋,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","14,0,1","1,0,14","15,0,0","0,0,15","11,0,4","3,0,12"
西兰花,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","0,0,15","0,0,15","2,0,13"
淀粉/团粉/生粉,"15,0,0","15,0,0","6,0,9","15,0,0","8,0,7","15,0,0","15,0,0","15,0,0","15,0,0","11,0,4","6,0,9"
菠萝,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","3,0,12","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
番石榴,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
橙子,"15,0,0","15,0,0","2,0,13","15,0,0","15,0,0","13,0,2","15,0,0","15,0,0","15,0,0","0,0,15","0,0,15"
羊蝎子,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","3,0,12","0,0,15","0,0,15","0,0,15"
三文鱼,"0,0,15","0,15,0","0,0,15","0,15,0","0,15,0","0,14,1","15,0,0","0,15,0","0,15,0","4,2,9","2,4,9"
金枪鱼,"15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","10,1,4","6,0,9"
牡蛎,"15,0,0","0,0,15","2,0,13","0,0,15","0,0,15","5,0,10","0,0,15","5,0,10","0,0,15","9,0,6","1,0,14"
数字电视,"15,0,0","15,0,0","15,0,0","15,0,0","5,0,10","15,0,0","15,0,0","15,0,0","15,0,0","11,0,4","13,2,0"
录像机,"15,0,0","15,0,0","13,0,2","0,0,15","7,0,8","15,0,0","15,0,0","15,0,0","15,0,0","12,0,3","9,0,6"
数码相机,"15,0,0","15,0,0","15,0,0","0,0,15","1,0,14","15,0,0","15,0,0","15,0,0","15,0,0","9,0,6","1,0,14"
卫生巾,"0,0,15","15,0,0","15,0,0","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","5,4,6","1,6,8"
避孕套/安全套,"15,0,0","15,0,0","14,0,1","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","10,1,4","11,0,4"
圆珠笔,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","6,2,7","1,0,14"
创可贴,"15,0,0","15,0,0","14,0,1","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","10,0,5","1,0,14"
桑拿浴/桑拿,"0,0,15","0,0,15","3,0,12","15,0,0","0,0,15","13,0,2","15,0,0","15,0,0","15,0,0","11,0,4","2,0,13"
