gt,qwen,baichuan2,chatglm2,breeze,taiwan-llm,ds,gpt4o,gpt4,gpt3.5,llama3-70b,llama3-8b
駕訓班,"0,0,15","0,15,0","3,0,12","15,0,0","0,0,15","0,15,0","0,15,0","0,0,15","0,15,0","1,8,6","3,0,12"
違規記點,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14"
罰鍰,"0,15,0","0,15,0","0,1,14","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,1,14","0,5,10"
後車廂,"0,0,15","0,15,0","0,0,15","15,0,0","0,15,0","5,1,9","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13"
後照鏡,"3,0,12","15,0,0","0,0,15","0,0,15","0,0,15","15,0,0","0,0,15","0,0,15","0,0,15","9,0,6","4,0,11"
邊燈,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,14,1","0,15,0","0,0,15","0,0,15","0,0,15","0,0,15"
後車燈,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","12,0,3","0,0,15","0,0,15","0,0,15","3,0,12","1,0,14"
方向燈,"0,0,15","0,15,0","2,3,10","0,15,0","0,15,0","6,9,0","15,0,0","15,0,0","15,0,0","1,9,5","2,4,9"
入擋,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","7,0,8","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
退擋,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","0,0,15","0,0,15","6,0,9","1,0,14","0,0,15"
自動排擋,"15,0,0","15,0,0","14,0,1","1,0,14","0,0,15","12,0,3","0,0,15","0,0,15","0,0,15","5,0,10","6,0,9"
手動排擋,"15,0,0","0,15,0","0,0,15","15,0,0","0,1,14","8,4,3","0,0,15","15,0,0","7,0,8","2,0,13","4,0,11"
廢氣,"0,15,0","0,15,0","15,0,0","0,0,15","0,0,15","6,9,0","15,0,0","0,15,0","0,15,0","8,1,6","2,0,13"
觀光局,"0,15,0","0,15,0","0,11,4","15,0,0","0,15,0","1,14,0","0,15,0","0,15,0","0,15,0","0,15,0","1,1,13"
觀光勝地,"0,0,15","0,15,0","0,0,15","0,15,0","0,0,15","0,1,14","0,0,15","0,0,15","0,0,15","4,4,7","1,0,14"
徒步區,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","0,3,12","0,15,0","0,15,0","1,0,14","2,0,13"
共乘,"0,15,0","0,15,0","2,0,13","15,0,0","15,0,0","3,12,0","0,15,0","0,15,0","0,15,0","5,2,8","5,0,10"
協力車,"0,15,0","0,15,0","0,0,15","0,0,15","0,15,0","15,0,0","0,15,0","0,15,0","0,15,0","5,8,2","4,2,9"
𣘗𡑔絰理,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","15,0,0","0,0,15","0,0,15","2,0,13","0,0,15"
住商大樓,"0,15,0","0,0,15","0,15,0","0,0,15","0,0,15","0,13,2","0,0,15","0,0,15","0,0,15","0,0,15","0,1,14"
樓中樓,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15","0,15,0","0,0,15","5,0,10","4,0,11"
門眼/ 防盗眼,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,14,0","0,15,0","0,15,0","0,13,2","4,0,11","3,3,9"
房仲業,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","0,0,15","5,0,10","1,0,14"
液化瓦斯,"0,7,8","0,0,15","0,0,15","0,0,15","0,0,15","0,15,0","0,15,0","0,0,15","0,15,0","2,6,7","0,4,11"
瓦斯鋼瓶,"0,15,0","0,0,15","0,0,15","0,0,15","0,15,0","2,0,13","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11"
瓦斯爐,"15,0,0","0,15,0","0,0,15","0,0,15","0,0,15","0,13,2","0,15,0","0,0,15","0,0,15","0,0,15","2,3,10"
夭然瓦斯管道,"0,15,0","0,15,0","0,13,2","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,2,13","0,0,15"
瓦斯表,"0,15,0","0,15,0","0,7,8","0,15,0","0,13,2","1,14,0","0,0,15","0,15,0","0,15,0","0,5,10","1,0,14"
建築廢棄物,"15,0,0","15,0,0","3,12,0","15,0,0","0,15,0","3,9,3","0,15,0","0,15,0","15,0,0","7,0,8","2,0,13"
抽風機,"0,0,15","0,0,15","6,0,9","0,0,15","0,0,15","1,3,11","0,15,0","0,0,15","0,0,15","2,0,13","3,0,12"
瑕疵品,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","7,0,8","15,0,0","15,0,0","0,0,15","7,0,8","1,0,14"
不實廣告,"0,15,0","0,0,15","0,0,15","0,0,15","0,0,15","0,15,0","0,15,0","0,15,0","0,15,0","2,0,13","0,1,14"
零碼,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13"
中盤商/中盤,"0,0,15","15,0,0","0,0,15","15,0,0","0,0,15","3,1,11","15,0,0","15,0,0","15,0,0","8,0,7","2,4,9"
不二價,"0,15,0","0,0,15","0,0,15","0,0,15","0,0,15","12,3,0","0,15,0","0,0,15","0,0,15","1,0,14","0,0,15"
保存期限,"0,0,15","0,15,0","0,14,1","0,0,15","0,15,0","0,15,0","0,15,0","0,15,0","7,8,0","0,0,15","3,0,12"
保固,"0,15,0","0,15,0","0,0,15","15,0,0","0,15,0","0,15,0","0,15,0","15,0,0","15,0,0","5,3,7","6,9,0"
網路購物,"0,0,15","0,0,15","6,0,9","0,0,15","0,0,15","0,0,15","9,0,6","15,0,0","15,0,0","0,0,15","1,1,13"
自動販賣機,"0,15,0","0,15,0","0,15,0","15,0,0","0,15,0","3,12,0","0,15,0","15,0,0","15,0,0","7,0,8","7,1,7"
連身裙,"0,15,0","0,0,15","0,0,15","15,0,0","0,0,15","0,15,0","0,0,15","0,15,0","0,0,15","5,0,10","1,0,14"
褲裙,"0,15,0","0,15,0","0,2,13","0,15,0","12,3,0","0,15,0","0,15,0","0,15,0","0,15,0","1,4,10","5,1,9"
蝴蝶䄂,"0,15,0","0,0,15","0,0,15","0,0,15","0,0,15","0,15,0","0,15,0","0,0,15","0,0,15","0,0,15","1,0,14"
衛生褲,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,14,1","0,15,0","0,0,15","0,0,15","0,0,15","0,0,15"
衛生衣,"0,15,0","0,0,15","0,4,11","0,0,15","0,0,15","0,14,1","0,15,0","0,15,0","0,15,0","0,0,15","0,1,14"
熱褲,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","0,0,15","10,1,4","2,0,13"
楔型鞋,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,9,5","0,0,15","0,15,0","0,0,15","1,2,12","0,0,15"
綠花椰菜,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,14,1","0,15,0","0,0,15","0,0,15","0,0,15","0,0,15"
太白粉,"0,15,0","0,15,0","0,0,15","0,15,0","0,0,15","0,15,0","0,15,0","0,15,0","0,15,0","0,14,1","0,5,10"
鳳梨,"0,0,15","0,15,0","0,0,15","0,0,15","0,0,15","2,2,11","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
芭樂,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
柳橙,"0,15,0","0,15,0","0,1,14","0,15,0","0,15,0","0,13,2","0,15,0","0,15,0","0,7,8","0,0,15","2,1,12"
羊大骨,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,15,0","0,15,0","0,0,15","0,0,15","0,0,15","0,0,15"
鮭魚,"0,0,15","4,0,11","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","2,0,13","3,0,12"
鮪魚,"0,15,0","0,15,0","2,12,1","0,15,0","0,15,0","0,15,0","14,1,0","9,6,0","0,0,15","2,11,2","0,11,4"
蚵仔,"0,15,0","0,0,15","0,15,0","0,0,15","0,0,15","1,6,8","0,15,0","3,12,0","0,0,15","0,3,12","0,0,15"
數位電視,"0,0,15","0,15,0","0,15,0","0,0,15","0,15,0","2,13,0","3,12,0","15,0,0","15,0,0","9,0,6","2,0,13"
錄影機,"15,0,0","0,15,0","13,2,0","15,0,0","15,0,0","6,9,0","15,0,0","15,0,0","15,0,0","7,0,8","4,2,9"
數位相機,"6,0,9","0,15,0","8,0,7","0,0,15","2,0,13","5,10,0","0,15,0","15,0,0","15,0,0","3,2,10","2,2,11"
衛生棉,"0,0,15","0,15,0","0,15,0","0,0,15","0,15,0","5,9,1","15,0,0","15,0,0","15,0,0","3,2,10","0,0,15"
衛生套/保險套,"0,15,0","0,15,0","0,14,1","15,0,0","0,15,0","3,12,0","0,15,0","0,15,0","0,15,0","5,3,7","0,13,2"
原子筆,"15,0,0","0,15,0","1,0,14","15,0,0","0,0,15","3,12,0","15,0,0","15,0,0","15,0,0","2,0,13","0,0,15"
OK繃,"0,0,15","0,0,15","0,2,13","0,0,15","0,0,15","2,8,5","15,0,0","3,0,12","15,0,0","1,0,14","0,0,15"
三温暖,"0,0,15","0,15,0","0,0,15","0,0,15","0,11,4","0,15,0","0,15,0","0,15,0","0,15,0","2,4,9","0,0,15"
