name,count,decile,region,gender
黃鈺婷,2039,2,Taiwan,female
陳麗娟,2020,3,Taiwan,female
林美惠,2017,3,Taiwan,female
林美玲,1987,3,Taiwan,female
林淑娟,1967,3,Taiwan,female
林秀美,1961,3,Taiwan,female
陳志豪,1936,1,Taiwan,male
陳雅玲,1929,3,Taiwan,female
張家銘,1922,1,Taiwan,male
陳美玉,1918,3,Taiwan,female
陳秀琴,1901,3,Taiwan,female
許雅婷,1864,3,Taiwan,female
王俊傑,1842,1,Taiwan,male
黃淑惠,1838,3,Taiwan,female
劉怡君,1836,4,Taiwan,female
黃俊傑,1824,1,Taiwan,male
陳冠霖,1806,1,Taiwan,male
張淑惠,1797,4,Taiwan,female
陳志明,1788,1,Taiwan,male
陳美珠,1788,4,Taiwan,female
陳秀英,1782,4,Taiwan,female
陳俊宇,1743,1,Taiwan,male
陳雅惠,1735,4,Taiwan,female
陳麗珠,1730,4,Taiwan,female
黃馨儀,1730,4,Taiwan,female
林佳蓉,1730,4,Taiwan,female
林淑華,1724,4,Taiwan,female
陳怡安,1720,4,Taiwan,female
林淑貞,1710,5,Taiwan,female
陳美雲,1708,5,Taiwan,female
王怡婷,1688,5,Taiwan,female
林美華,1684,5,Taiwan,female
林冠宇,1668,1,Taiwan,male
林冠廷,1661,1,Taiwan,male
陳秀鳳,1658,5,Taiwan,female
陳惠美,1650,5,Taiwan,female
陳思穎,1628,5,Taiwan,female
張淑芬,1623,5,Taiwan,female
陳建志,1618,2,Taiwan,male
陳惠玲,1617,5,Taiwan,female
陳麗卿,1613,5,Taiwan,female
林欣怡,1608,6,Taiwan,female
黃淑貞,1589,6,Taiwan,female
黃美玲,1584,6,Taiwan,female
陳威廷,1583,2,Taiwan,male
李淑芬,1577,6,Taiwan,female
陳俊傑,1571,2,Taiwan,male
陳美麗,1571,6,Taiwan,female
林秀英,1564,6,Taiwan,female
陳雅婷,1555,6,Taiwan,female
陳麗美,1550,6,Taiwan,female
黃美惠,1545,6,Taiwan,female
李佳蓉,1534,6,Taiwan,female
李麗華,1522,7,Taiwan,female
林志明,1517,2,Taiwan,male
林雅惠,1515,7,Taiwan,female
陳品妤,1510,7,Taiwan,female
林欣儀,1508,7,Taiwan,female
陳秀蘭,1507,7,Taiwan,female
鄭雅文,1506,7,Taiwan,female
陳慧玲,1484,7,Taiwan,female
黃郁婷,1471,7,Taiwan,female
陳俊良,1464,2,Taiwan,male
林彥廷,1448,2,Taiwan,male
林芳如,1442,7,Taiwan,female
陳麗如,1439,7,Taiwan,female
陳宥蓁,1434,8,Taiwan,female
黃美華,1432,8,Taiwan,female
黃淑娟,1430,8,Taiwan,female
王淑芬,1429,8,Taiwan,female
黃麗華,1428,8,Taiwan,female
陳冠宏,1425,2,Taiwan,male
李淑惠,1424,8,Taiwan,female
陳姿穎,1410,8,Taiwan,female
林雅婷,1410,8,Taiwan,female
林麗娟,1405,8,Taiwan,female
林美玉,1397,8,Taiwan,female
張淑娟,1396,9,Taiwan,female
林宜蓁,1394,9,Taiwan,female
黃詩涵,1388,9,Taiwan,female
陳素貞,1384,9,Taiwan,female
李怡萱,1382,9,Taiwan,female
張美玲,1382,9,Taiwan,female
林秀琴,1376,9,Taiwan,female
吳佩珊,1375,9,Taiwan,female
林秀玲,1368,9,Taiwan,female
張淑貞,1365,9,Taiwan,female
李俊賢,1352,2,Taiwan,male
吳宗翰,1346,2,Taiwan,male
陳柏宏,1335,2,Taiwan,male
陳建宇,1332,3,Taiwan,male
張育誠,1312,3,Taiwan,male
林哲宇,1308,3,Taiwan,male
張家瑋,1302,3,Taiwan,male
陳建良,1301,3,Taiwan,male
吳俊賢,1291,3,Taiwan,male
陳柏安,1288,3,Taiwan,male
陳柏霖,1283,3,Taiwan,male
張凱翔,1271,3,Taiwan,male
陳建成,1270,3,Taiwan,male
李宗翰,1267,4,Taiwan,male
吳承翰,1263,4,Taiwan,male
李承翰,1257,4,Taiwan,male
張哲瑋,1235,4,Taiwan,male
許家豪,1235,4,Taiwan,male
陳威宇,1231,4,Taiwan,male
陳柏諺,1230,4,Taiwan,male
陳建銘,1226,4,Taiwan,male
陳俊廷,1224,4,Taiwan,male
林信宏,1220,4,Taiwan,male
張家榮,1219,5,Taiwan,male
張哲維,1213,5,Taiwan,male
陳建安,1189,5,Taiwan,male
李承恩,1179,5,Taiwan,male
陳志成,1174,5,Taiwan,male
蔡承翰,1158,5,Taiwan,male
林志鴻,1153,5,Taiwan,male
吳承恩,1127,5,Taiwan,male
張志豪,1125,5,Taiwan,male
陳志忠,1124,5,Taiwan,male
蔡宗翰,1121,6,Taiwan,male
陳奕安,1118,6,Taiwan,male
陳俊男,1115,6,Taiwan,male
陳正雄,1097,6,Taiwan,male
陳志偉,1075,6,Taiwan,male
林子傑,1061,6,Taiwan,male
林明輝,1060,6,Taiwan,male
陳志銘,1060,6,Taiwan,male
陳彥霖,1045,6,Taiwan,male
李建興,1036,6,Taiwan,male
陳志宏,1035,7,Taiwan,male
陳俊豪,1031,7,Taiwan,male
陳柏睿,1024,7,Taiwan,male
楊宗翰,1019,7,Taiwan,male
黃柏翰,1015,7,Taiwan,male
陳俊吉,1015,7,Taiwan,male
陳彥宇,1014,7,Taiwan,male
林子翔,1008,7,Taiwan,male
陳俊佑,1004,7,Taiwan,male
李俊毅,996,7,Taiwan,male
林建成,990,8,Taiwan,male
林明德,986,8,Taiwan,male
陳俊雄,985,8,Taiwan,male
林冠宏,984,8,Taiwan,male
陳文雄,984,8,Taiwan,male
林正雄,969,8,Taiwan,male
陳文彬,969,8,Taiwan,male
陳昱安,968,8,Taiwan,male
劉冠廷,965,8,Taiwan,male
王俊凱,959,8,Taiwan,male
蔡承恩,959,9,Taiwan,male
劉建宏,954,9,Taiwan,male
陳志強,946,9,Taiwan,male
吳俊毅,943,9,Taiwan,male
陳俊銘,939,9,Taiwan,male
林建志,930,9,Taiwan,male
楊承翰,928,9,Taiwan,male
黃柏翔,925,9,Taiwan,male
陳宥廷,924,9,Taiwan,male
林建良,921,9,Taiwan,male
